Rank,University Name,Official Website,City,Country,Study Level,Bachelor,Master,Program Category,Program Name,Program URL,Course Intensity,Full Time,Part Time,Study Mode,On Campus,Online,Hybrid,Programme Duration,eu,non eu,arab,lebanese,pal,us,TOEFL,IELTS,SAT,GPA,Languages,english,french,arabic,german,spanish,catalan,italian,Engineering,Computing & Technology,Data Science & Artificial Intelligence,Health & Medicine,Life Sciences,Natural & Physical Sciences,Social Sciences,Psychology & Behavioral Sciences,Business & Management,Law & Governance,Education,"Arts, Design & Architecture",Humanities & Languages,Environment & Agriculture,Media & Communication,Hospitality & Tourism,Sports & Events,"Transport, Aviation & Maritime",Interdisciplinary & Emerging Fields
3,Stanford University,https://www.stanford.edu/,Stanford,United States,Master,0,1,Computing & Technology,Computer Science ,https://online.stanford.edu/programs/computer-science-ms-degree,Part Time,0,1,Online,0,1,0,5,60840,60840,60840,60840,60840,60840,101,,,3.72,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Stanford University,https://www.stanford.edu/,Stanford,United States,Master,0,1,Engineering,Electrical  Engineering,https://online.stanford.edu/programs/electrical-Engineering and Technology -ms-degree,Part Time,0,1,Online,0,1,0,5,60840,60840,60840,60840,60840,60840,101,,,3.72,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Stanford University,https://www.stanford.edu/,Stanford,United States,Master,0,1,Engineering,Management Science and  Engineering ,https://online.stanford.edu/programs/management-science-and-Engineering and Technology -ms-degree,Part Time,0,1,Online,0,1,0,5,60840,60840,60840,60840,60840,60840,101,,,3.72,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Stanford University,https://www.stanford.edu/,Stanford,United States,Master,0,1,Engineering,Materials Science and  Engineering ,https://online.stanford.edu/programs/materials-science-and-Engineering and Technology -ms-degree,Part Time,0,1,Online,0,1,0,5,60840,60840,60840,60840,60840,60840,101,,,3.72,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Stanford University,https://www.stanford.edu/,Stanford,United States,Master,0,1,Engineering,Mechanical  Engineering ,https://online.stanford.edu/programs/mechanical-Engineering and Technology -ms-degree,Part Time,0,1,Online,0,1,0,5,60840,60840,60840,60840,60840,60840,101,,,3.72,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Stanford University,https://www.stanford.edu/,Stanford,United States,Master,0,1,Computing & Technology,Biomedical Informatics ,https://online.stanford.edu/programs/biomedical-informatics-ms-degree,Part Time,0,1,Online,0,1,0,5,60840,60840,60840,60840,60840,60840,101,,,3.72,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Stanford University,https://www.stanford.edu/,Stanford,United States,Master,0,1,Natural & Physical Sciences,Applied Physics ,https://online.stanford.edu/programs/applied-physics-ms-degree,Part Time,0,1,Online,0,1,0,5,60840,60840,60840,60840,60840,60840,101,,,3.72,English,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Stanford University,https://www.stanford.edu/,Stanford,United States,Master,0,1,"Arts, Design & Architecture","Learning, Design and Technology ",https://online.stanford.edu/programs/learning-design-and-technology-ldt-ms-degree,Part Time,0,1,Online,0,1,0,5,60840,60840,60840,60840,60840,60840,101,,,3.72,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,Stanford University,https://www.stanford.edu/,Stanford,United States,Master,0,1,Natural & Physical Sciences,Statistics ,https://online.stanford.edu/programs/statistics-ms-degree,Part Time,0,1,Online,0,1,0,5,60840,60840,60840,60840,60840,60840,101,,,3.72,English,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Harvard University,https://www.harvard.edu/,Cambridge,United States,Bachelor,1,0,"Arts, Design & Architecture",Liberal Arts ,https://www.extension.harvard.edu/academics/bachelor-liberal-arts-degree,Part Time,0,1,Blended,0,0,1,4,35000,35000,35000,35000,35000,35000,80,,1470,,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
