ID,Rank,University Name,Official Website,City,Country,Study Level,Bachelor,Master,Program Name,Program URL,Course Intensity,Full Time,Part Time,Study Mode,On Campus,Online,Hybrid,Programme Duration,eu,non eu,arab,lebanese,pal,us,TOEFL,IELTS,SAT,GPA,Languages,english,french,arabic,german,spanish,catalan,italian,detailed_category,broad_category,Engineering,Computing & Technology,Data Science & Artificial Intelligence,Health & Medicine,Life Sciences,Natural & Physical Sciences,Social Sciences,Psychology & Behavioral Sciences,Business & Management,Law & Governance,Education,"Arts, Design & Architecture",Humanities & Languages,Environment & Agriculture,Media & Communication,Hospitality & Tourism,Sports & Events,"Transport, Aviation & Maritime",Interdisciplinary & Emerging Fields,"detailed__Mechanical, Manufacturing & Industrial Engineering","detailed__Civil, Structural & Construction Engineering","detailed__Electrical, Electronic & Communications Engineering","detailed__Chemical, Process & Petroleum Engineering","detailed__Materials, Mechatronics & General Engineering","detailed__Computer Science, Software & Information Systems","detailed__Computer Engineering, Embedded Systems & Robotics","detailed__Cybersecurity, Networks & Cloud Computing","detailed__Data Science, Artificial Intelligence & Machine Learning","detailed__Business Analytics, Decision Science & Intelligent Systems","detailed__Medicine, Dentistry & Clinical Medicine","detailed__Nursing, Midwifery & Patient Care","detailed__Allied Health, Physiotherapy & Rehabilitation","detailed__Pharmacy, Pharmacology & Pharmaceutical Sciences","detailed__Public Health, Nutrition & Health Management","detailed__Biological Sciences, Genetics & Molecular Biology","detailed__Biotechnology, Biomedical Sciences & Bioinformatics","detailed__Neuroscience, Microbiology & Life Science Research","detailed__Mathematics, Statistics & Actuarial Science","detailed__Physics, Astronomy & Space Science",detailed__Chemistry & Chemical Sciences,"detailed__Earth Sciences, Geology & Geophysics","detailed__Economics, Econometrics & Development Studies","detailed__Political Science, International Relations & Public Affairs","detailed__Sociology, Anthropology & Human Geography","detailed__Psychology, Counseling & Mental Health",detailed__Cognitive Science & Behavioral Science,"detailed__Business Administration, Management & Entrepreneurship","detailed__Finance, Accounting, Banking & Fintech","detailed__Marketing, Supply Chain, Logistics & Operations","detailed__Law, Legal Studies & Justice","detailed__Governance, Public Policy & International Law","detailed__Education, Teaching & Curriculum Studies","detailed__Educational Leadership, Special Education & Instruction","detailed__Architecture, Urban Planning & Built Environment","detailed__Graphic, Interior, Industrial & Fashion Design","detailed__Fine Arts, Visual Arts & Creative Practice","detailed__Music, Performing Arts & Creative Technology","detailed__Languages, Linguistics, Translation & Applied Languages","detailed__Literature, History, Philosophy & Religious Studies","detailed__Cultural Studies, Area Studies & Heritage","detailed__Environmental Science, Sustainability & Ecology","detailed__Agriculture, Forestry, Food Science & Natural Resources","detailed__Media, Communication, Journalism & Public Relations","detailed__Film, Digital Media, Advertising & Content Production","detailed__Hospitality, Tourism, Travel & Hotel Management","detailed__Sports Science, Exercise Science & Athletic Performance","detailed__Event Management, Recreation & Leisure Studies","detailed__Aviation, Aeronautics & Aerospace Transport","detailed__Maritime, Shipping, Logistics & Transport Systems","detailed__Interdisciplinary, Innovation & Emerging Studies"
2507,6961,Antoine University,https://ua.edu.lb/en/home,Baabda - Zahle - Zgharta,Lebanon,Bachelor ,1,0,Advertising In Audiovisual,https://ua.edu.lb/en/fic/ba-in-advertising-audiovisual,Full Time,1,0,On Campus,1,0,0,3,4650,4650,4650,4650,4650,,,,,,"English, French",1,1,0,0,0,0,0,"Film, Digital Media, Advertising & Content Production",Media & Communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2508,6961,Antoine University,https://ua.edu.lb/en/home,Baabda - Zahle - Zgharta,Lebanon,Bachelor ,1,0,Advertising In Journalism and Radio/TV,https://ua.edu.lb/en/fic/ba-in-journalism-and-radio-tv,Full Time,1,0,On Campus,1,0,0,3,4650,4650,4650,4650,4650,,,,,,"English, French, Arabic",1,1,1,0,0,0,0,"Media, Communication, Journalism & Public Relations",Media & Communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2509,6961,Antoine University,https://ua.edu.lb/en/home,Baabda - Zahle - Zgharta,Lebanon,Bachelor ,1,0,Advertising In Graphic Design ,https://ua.edu.lb/en/fic/ba-in-graphic-design,Full Time,1,0,On Campus,1,0,0,3,5100,5100,5100,5100,5100,,,,,,"English, French",1,1,0,0,0,0,0,"Graphic, Interior, Industrial & Fashion Design","Arts, Design & Architecture",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2510,6961,Antoine University,https://ua.edu.lb/en/home,Baabda - Zahle - Zgharta,Lebanon,Masters,0,1,Audiovisual Communication,https://ua.edu.lb/en/fic/ma-in-information-and-communication-audiovisual-communication,Full Time,1,0,On Campus,1,0,0,2,5850,5850,5850,5850,5850,,,,,,French,0,1,0,0,0,0,0,"Media, Communication, Journalism & Public Relations",Media & Communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2511,6961,Antoine University,https://ua.edu.lb/en/home,Baabda - Zahle - Zgharta,Lebanon,Masters,0,1,Journalism and Radio/TV,https://ua.edu.lb/en/fic/ma-in-information-and-communication-journalism-and-radio-tv,Full Time,1,0,On Campus,1,0,0,2,5850,5850,5850,5850,5850,,,,,,French,0,1,0,0,0,0,0,"Media, Communication, Journalism & Public Relations",Media & Communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2512,6961,Antoine University,https://ua.edu.lb/en/home,Baabda - Zahle - Zgharta,Lebanon,Bachelor ,1,0,Music Education Scieneces,https://ua.edu.lb/en/fmm/ba-in-music-and-musicology-music-education-sciences,Full Time,1,0,On Campus,1,0,0,3,4200,4200,4200,4200,4200,,,,,,"English, French, Arabic",1,1,1,0,0,0,0,"Education, Teaching & Curriculum Studies",Education,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2513,6961,Antoine University,https://ua.edu.lb/en/home,Baabda - Zahle - Zgharta,Lebanon,Bachelor ,1,0,Music Therapy ,https://ua.edu.lb/en/fmm/ba-in-music-and-musicology-music-therapy,Full Time,1,0,On Campus,1,0,0,3,4200,4200,4200,4200,4200,,,,,,"English, French, Arabic",1,1,1,0,0,0,0,"Music, Performing Arts & Creative Technology","Arts, Design & Architecture",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2514,6961,Antoine University,https://ua.edu.lb/en/home,Baabda - Zahle - Zgharta,Lebanon,Bachelor ,1,0,Music and Media ,https://ua.edu.lb/en/fmm/ba-in-music-and-musicology-music-technology-and-media,Full Time,1,0,On Campus,1,0,0,3,4200,4200,4200,4200,4200,,,,,,"English, French, Arabic",1,1,1,0,0,0,0,"Music, Performing Arts & Creative Technology","Arts, Design & Architecture",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2515,6961,Antoine University,https://ua.edu.lb/en/home,Baabda - Zahle - Zgharta,Lebanon,Bachelor ,1,0,General Musicology of Traditions,https://ua.edu.lb/en/fmm/ba-in-music-and-musicology-general-musicology-of-traditions,Full Time,1,0,On Campus,1,0,0,3,4200,4200,4200,4200,4200,,,,,,"English, French, Arabic",1,1,1,0,0,0,0,"Music, Performing Arts & Creative Technology","Arts, Design & Architecture",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2516,6961,Antoine University,https://ua.edu.lb/en/home,Baabda - Zahle - Zgharta,Lebanon,Bachelor ,1,0,Arabic Art Music,https://ua.edu.lb/en/fmm/ba-in-music-and-musicology-arabic-art-music,Full Time,1,0,On Campus,1,0,0,3,4200,4200,4200,4200,4200,,,,,,"English, French, Arabic",1,1,1,0,0,0,0,"Music, Performing Arts & Creative Technology","Arts, Design & Architecture",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2517,6961,Antoine University,https://ua.edu.lb/en/home,Baabda - Zahle - Zgharta,Lebanon,Bachelor ,1,0,European Art Music,https://ua.edu.lb/en/fmm/ba-in-music-and-musicology-european-art-music,Full Time,1,0,On Campus,1,0,0,3,4200,4200,4200,4200,4200,,,,,,"English, French, Arabic",1,1,1,0,0,0,0,"Music, Performing Arts & Creative Technology","Arts, Design & Architecture",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2518,6961,Antoine University,https://ua.edu.lb/en/home,Baabda - Zahle - Zgharta,Lebanon,Masters,0,1,General Musicology of Modal Traditions ,https://ua.edu.lb/en/fmm/master-in-music-and-musicology-general-musicology-of-modal-traditions,Full Time,1,0,On Campus,1,0,0,2,5250,5250,5250,5250,5250,,,,,,"English, French, Arabic",1,1,1,0,0,0,0,"Music, Performing Arts & Creative Technology","Arts, Design & Architecture",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2519,6961,Antoine University,https://ua.edu.lb/en/home,Baabda - Zahle - Zgharta,Lebanon,Masters,0,1,Music Education,https://ua.edu.lb/en/fmm/master-in-music-and-musicology-music-education,Full Time,1,0,On Campus,1,0,0,2,5250,5250,5250,5250,5250,,,,,,"English, French, Arabic",1,1,1,0,0,0,0,"Education, Teaching & Curriculum Studies",Education,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2520,6961,Antoine University,https://ua.edu.lb/en/home,Baabda - Zahle - Zgharta,Lebanon,Masters,0,1,Music Therapy,https://ua.edu.lb/en/fmm/master-in-music-and-musicology-music-therapy,Full Time,1,0,On Campus,1,0,0,2,5250,5250,5250,5250,5250,,,,,,"English, French, Arabic",1,1,1,0,0,0,0,"Music, Performing Arts & Creative Technology","Arts, Design & Architecture",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2521,6961,Antoine University,https://ua.edu.lb/en/home,Baabda - Zahle - Zgharta,Lebanon,Masters,0,1,Music and Media,https://ua.edu.lb/en/fmm/master-in-music-and-musicology-music-technology-and-media,Full Time,1,0,On Campus,1,0,0,2,5250,5250,5250,5250,5250,,,,,,"English, French, Arabic",1,1,1,0,0,0,0,"Music, Performing Arts & Creative Technology","Arts, Design & Architecture",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2522,6961,Antoine University,https://ua.edu.lb/en/home,Baabda - Zahle - Zgharta,Lebanon,Masters,0,1,Art Music of the Mashriq,https://ua.edu.lb/en/fmm/master-in-music-and-musicology-art-music-of-the-mashriq,Full Time,1,0,On Campus,1,0,0,2,5250,5250,5250,5250,5250,,,,,,"English, French, Arabic",1,1,1,0,0,0,0,"Music, Performing Arts & Creative Technology","Arts, Design & Architecture",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2523,6961,Antoine University,https://ua.edu.lb/en/home,Baabda - Zahle - Zgharta,Lebanon,Masters,0,1,European Art Music,https://ua.edu.lb/en/fmm/master-in-music-and-musicology-european-art-music,Full Time,1,0,On Campus,1,0,0,2,5250,5250,5250,5250,5250,,,,,,"English, French, Arabic",1,1,1,0,0,0,0,"Music, Performing Arts & Creative Technology","Arts, Design & Architecture",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
